Resumed from models/iter_050.pt
Iter 126/250 | Loss: 1.3920 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 262s
Iter 127/250 | Loss: 1.3539 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 265s
Iter 128/250 | Loss: 1.3318 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 260s
Iter 129/250 | Loss: 1.3656 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 261s
Iter 130/250 | Loss: 1.3757 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 254s
Iter 131/250 | Loss: 1.3585 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 264s
Iter 132/250 | Loss: 1.3632 | Avg remaining: 9.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 266s
Iter 133/250 | Loss: 1.4098 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 261s
Iter 134/250 | Loss: 1.3851 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 259s
Iter 135/250 | Loss: 1.3586 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 311s
Iter 136/250 | Loss: 1.3735 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 261s
Iter 137/250 | Loss: 1.3692 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 259s
Iter 138/250 | Loss: 1.3542 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 257s
Iter 139/250 | Loss: 1.3859 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 261s
Iter 140/250 | Loss: 1.3661 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 264s
Iter 141/250 | Loss: 1.3426 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 273s
Iter 142/250 | Loss: 1.3766 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 271s
Iter 143/250 | Loss: 1.3855 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 269s
Iter 144/250 | Loss: 1.3446 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 267s
Iter 145/250 | Loss: 1.3576 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 265s
Iter 146/250 | Loss: 1.4215 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 289s
Iter 147/250 | Loss: 1.3379 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 268s
Iter 148/250 | Loss: 1.3363 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 271s
Iter 149/250 | Loss: 1.3512 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 274s
Iter 150/250 | Loss: 1.4041 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 269s
  -> Saved checkpoint: models/iter_150.pt
Iter 151/250 | Loss: 1.3607 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 273s
Iter 152/250 | Loss: 1.3711 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 273s
Iter 153/250 | Loss: 1.3642 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 278s
Iter 154/250 | Loss: 1.3395 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 268s
Iter 155/250 | Loss: 1.3323 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 264s
Iter 156/250 | Loss: 1.3269 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 273s
Iter 157/250 | Loss: 1.3538 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 290s
Iter 158/250 | Loss: 1.3478 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 268s
Iter 159/250 | Loss: 1.3608 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 268s
Iter 160/250 | Loss: 1.3125 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 268s
Iter 161/250 | Loss: 1.3505 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 274s
Iter 162/250 | Loss: 1.3511 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 300s
